artist,genre,occurrences,track_name
Slim Thug,Rap,26205,Like A Boss
Cat Power,Rock,25600,King Rides By
Pavement,Rock,25489,Type Slowly
Pearl Jam,Rock,24977,Rearview Mirror
Bohren & der Club of Gore,Jazz,24845,Cairo Keller
Jack Johnson,Pop,24277,Situations
Dierks Bentley,Country,24216,Trying To Stop Your Leaving
Katy Perry,Pop,24060,E.T.
Bonobo,Electronic,23848,Nothing Owed
Pendulum,Electronic,23844,Minds Eye
Explosions in the Sky,Rock,23844,It's Natural To Be Afraid
Enigma,New Age,23694,Odyssey of the Mind
The Wallflowers,Rock,23590,Closer To You
The Shins,Rock,23059,Baby Boomerang
All Time Low,Rock,22936,Forget About It
Camera Obscura,Rock,22642,Let Me Go Home
The Hives,Rock,22565,Missing Link
The xx,Rock,22265,Do You Mind?
Boys Like Girls,Rock,22183,"Me, You And My Medication"
Jason Aldean,Country,22124,Hicktown
Brooks & Dunn,Country,21889,Hillbilly Deluxe
Angus & Julia Stone,Rock,21753,Grizzly Bear
Looptroop,Rap,21724,Don't Hate the Player
Riverside,Rock,21398,Lucid Dream Iv
Audioslave,Rock,21126,One and the Same
Dixie Chicks,Country,21056,Some Days You Gotta Dance
Jay-Z,Rap,20927,Hard Knock Life
Rage Against the Machine,Rock,20900,New Millennium Homes
Beck,Rock,20669,Motorcade
The Cure,Rock,20367,Bare
Boards of Canada,Electronic,20313,Pete Standing Alone
Kiss,Rock,20217,C'mon And Love Me
Primus,Rock,20204,Shake Hands With Beef
Dropkick Murphys,Punk,20133,Going Strong
Miranda Lambert,Country,19909,Only Prettier
Days of the New,Rock,19823,Die Born
Descendents,Punk,19711,Christmas Vacation
Biffy Clyro,Rock,19687,Stress on the Sky
Bloc Party,Rock,19549,The Prayer
Rilo Kiley,Rock,19435,Dreamworld
Opeth,Metal,19434,Nepenthe
Ray LaMontagne,Folk,19399,Barfly
Alison Krauss,Country,19293,Simple Love
Garbage,Rock,18998,Boys Wanna Fight
Edward Sharpe & The Magnetic Zeros,Rock,18995,Simplest Love
Passion Pit,Rock,18905,I'll Be Alright
Finger Eleven,Rock,18882,Window Song
Doves,Rock,18874,Catch the Sun
Scissor Sisters,Pop,18729,Return To Oz
The Temper Trap,Rock,18578,Down River
Yael Naim,Pop,18522,New Soul
Eels,Rock,18482,Wooden Nickels
Billy Talent,Rock,18455,Fallen Leaves
The Black Keys,Rock,18256,When The Lights Go Out
Los Fabulosos Cadillacs,Latin,18179,Los Condenaditos
Kanye West,Rap,18078,School Spirit Skit 2
Caribou,Electronic,17919,Niobe
Atmosphere,Rap,17734,Onemosphere
Nick Drake,Folk,17727,Mayfair
Amy Winehouse,RnB,17722,Fuck Me Pumps
Digitalism,Electronic,17663,Taken Away (Instrumental)
James Blunt,Pop,17646,Out of My Mind
Something Corporate,Rock,17477,I Woke Up In A Car
The Bird and the Bee,Rock,17418,I Hate Camera
A Fine Frenzy,Pop,17270,"Come On, Come Out"
Five Finger Death Punch,Metal,17153,White Knuckles
The Red Jumpsuit Apparatus,Rock,17152,Face Down
Sade,RnB,17137,Somebody Already Broke My Heart
Death Cab for Cutie,Rock,16988,Brothers on a Hotel Bed
U2,Rock,16896,Kite
Jamie Cullum,Jazz,16863,Well You Needn't
The Gaslight Anthem,Rock,16829,Blue Jeans & White T-Shirts
Fleetwood Mac,Rock,16734,Over My Head
Air France,Electronic,16672,Collapsing at Your Doorstep
Lifehouse,Rock,16638,Out Of Breath
Gang of Four,Rock,16387,What We All Want
Great White,Rock,16229,House Of Broken Love
MAE,Rock,16152,Painless
Rufus Wainwright,Rock,16122,Nobody's Off The Hook
Elton John,Pop,16115,Sad Songs (Say So Much)
The All-American Rejects,Rock,16007,I'm Waiting
Joshua Radin,Folk,15891,Sundrenched World
The Raconteurs,Rock,15873,Pull This Blanket Off
Yann Tiersen,World,15797,La Dispute
The Fratellis,Rock,15775,Stragglers Moon
The Clash,Punk,15741,The Street Parade
Live,Rock,15682,Unsheathed
NOFX,Punk,15677,Cool And Unusual Punishment
Spoon,Rock,15667,Something to Look Forward To
Alter Bridge,Rock,15595,One By One
Stratovarius,Rock,15505,Speed of Light
Deerhunter,Rock,15464,Cover Me (Slowly)
Infected Mushroom,Electronic,15416,Deeply Disturbed (Edit)
Kris Allen,Pop,15397,Live Like We're Dying
CKY,Rock,15286,As The Tables Turn
TV on the Radio,Rock,15187,Second Song
KT Tunstall,Pop,15119,Someday Soon
Aphex Twin,Electronic,15071,D-Scape
Fleet Foxes,Rock,15020,Quiet Houses
Portishead,Electronic,14935,Half Day Closing
Band of Horses,Rock,14865,The First Song
Angels & Airwaves,Rock,14808,Jumping Rooftops
Laura Marling,Folk,14752,Made by Maid
Owl City,Electronic,14730,Air Traffic
Eliza Doolittle,Pop,14675,Moneybox
Creed,Rock,14659,Higher
Dead Kennedys,Punk,14652,Moon Over Marin
Hole,Rock,14606,Northern Star
Bon Iver,Rock,14585,"Brackett, WI"
Era,New Age,14474,Don't You Forget
As I Lay Dying,Metal,14460,Undefined
Rob Zombie,Metal,14132,Demonoid Phenomenon
New Order,Rock,14131,World
War Of Ages,Metal,14068,Absence of Fear
Telefon Tel Aviv,Electronic,13975,Your Every Idol
Kaiser Chiefs,Rock,13954,Learnt My Lesson Well
Aerosmith,Rock,13918,Toys in the Attic
Josh Turner,Country,13667,Long Black Train
The Kinks,Rock,13625,Dead End Street
OneRepublic,Rock,13617,Preacher
Blonde Redhead,Rock,13613,Harmony
Emery,Rock,13484,Bloodless
The Libertines,Rock,13468,Horrorshow
The Tallest Man on Earth,Folk,13451,Thousand Ways
Tom Petty,Rock,13438,Depending On You
Brett Dennen,Folk,13252,I Asked When
My Chemical Romance,Rock,13244,The Ghost of You
ATB,Electronic,13181,Better Give Up
Matthew Dear,Electronic,13163,Fleece on Brain
Ladytron,Electronic,13148,I'm With the Pilots
The Weepies,Folk,13112,World Spins Madly On
Juanes,Latin,13063,Tu Guardian
311,Rock,13049,Strong All Along
Animal Collective,Rock,13033,Infant Dressing Table
Yeasayer,Rock,12991,No Need To Worry
Maroon 5,Pop,12979,Beautiful Goodbye
Vitalic,Electronic,12900,Wooo
Iron Maiden,Metal,12855,The Apparition
The Airborne Toxic Event,Rock,12810,Happiness Is Overrated
Fall Out Boy,Rock,12783,Sophomore Slump or Comeback of the Year
Bruce Springsteen,Rock,12755,Badlands
Wilco,Rock,12752,I Am Trying to Break Your Heart
Edwyn Collins,Rock,12687,A Girl Like You
The Bloody Beetroots,Electronic,12671,Second Streets Have No Name (feat. Beta Bow)
OutKast,Rap,12624,Toilet Tisha
Papa Roach,Rock,12549,Into The Light
PJ Harvey,Rock,12451,Missed
The Rural Alberta Advantage,Rock,12347,The Dethbridge in Lethbridge
The Offspring,Rock,12344,Rise and Fall
Slayer,Metal,12315,Catalyst
Ryan Adams,Rock,12275,Enemy Fire
Mansun,Rock,12188,Stripper Vicar
Jack's Mannequin,Rock,12133,Bloodshot
Booka Shade,Electronic,12128,L.A.tely
Travis,Rock,12058,Colder
Sia,Pop,12053,You Have Been Loved
K'naan,Rap,12029,T.I.A.
Björk,Rock,11971,Thunderbolt
Thousand Foot Krutch,Rock,11948,The Invitation
Nickel Creek,Country,11924,Smoothie Song
Smash Mouth,Rock,11908,Heave-Ho
Franz Ferdinand,Rock,11870,Send Him Away
Sugarland,Country,11828,Just Might (Make Me Believe)
Lit,Rock,11823,A Place in the Sun
Simian Mobile Disco,Electronic,11738,I Got This Down
Chris Cornell,Rock,11736,Silence The Voices
Misfits,Punk,11733,Theme for a Jackal
The Radio Dept.,Rock,11732,Let Me Have This
Chris Cagle,Country,11726,My Love Goes On And On
Huey Lewis & The News,Rock,11654,Doing It All for My Baby
Midlake,Rock,11620,In The Ground
Fat Freddy's Drop,Reggae,11615,Boondigga
Tokyo Police Club,Rock,11595,If It Works
Peter Gabriel,Rock,11591,Here Comes the Flood
Vanessa Carlton,Pop,11491,Ordinary Day
The Crystal Method,Electronic,11489,Comin' Back
Joe Nichols,Country,11400,Cool To Be A Fool
Damian Marley,Reggae,11335,Mi Blenda
System of a Down,Metal,11285,F**k the System
Amos Lee,Folk,11278,It Started To Rain
MGMT,Rock,11203,4th Dimensional Transition
Max Richter,Electronic,11190,Iconography
Darwin Deez,Rock,11163,The Suicide Song
Phoenix,Rock,11045,Napoleon Says (Live)
Paul Kalkbrenner,Electronic,11029,Keule
Burial,Electronic,10983,Exit Woundz
Mando Diao,Rock,10971,You Don't Understand Me
Rata Blanca,Metal,10964,Mujer Amante
Stars,Rock,10963,Life Effect
Damien Rice,Folk,10949,Sleep Don't Weep
Beach House,Rock,10949,Black Car
Ace of Base,Pop,10875,Hallo Hallo
Faithless,Electronic,10846,Hour of Need
múm,Electronic,10781,They Made Frogs Smoke 'til They Exploded
At the Drive-In,Rock,10775,Shaking Hand Incision
Escape the Fate,Rock,10774,Cellar Door
Butthole Surfers,Rock,10601,Whirling Hall of Knives
Clannad,Folk,10551,The Wild Cry
Fiona Apple,Rap,10539,Criminal
Devin Townsend,Metal,10537,Tall Latte
Erlend Øye,Electronic,10525,Like Gold
John Legend,RnB,10461,Let's Get Lifted Again
Ska-P,Reggae,10449,Naval Xixon
Children of Bodom,Metal,10431,The Nail
The Format,Rock,10405,Matches
Eagles of Death Metal,Rock,10359,Shasta Beast
Marilyn Manson,Metal,10349,Prelude (The Family Trip)
Saosin,Rock,10347,Let Go Control
Madvillain,Rap,10261,Do Not Fire!
Empire of the Sun,Electronic,10246,We Are The People (Burns Remix)
Robin Thicke,RnB,10200,Ask Myself
Frightened Rabbit,Rock,10160,The Modern Leper
Divinyls,Rock,10131,I Touch Myself
3 Doors Down,Rock,10093,Pages
Maxïmo Park,Rock,10051,The Night I Lost My Head
Coheed and Cambria,Rock,9928,The Willing Well II: From Fear Through the Eyes of Madness
Sigur Rós,Rock,9927,Salka
Céline Dion,Pop,9889,Because You Loved Me
Epica,Metal,9882,Semblance of Liberty
Dave Matthews Band,Rock,9863,Big Eyed Fish
New Found Glory,Rock,9850,Forget My Name
The Cool Kids,Rap,9836,Jingling
Nick Cave & The Bad Seeds,Rock,9824,God Is in the House
Okkervil River,Rock,9781,My Bad Days
Miley Cyrus,Pop,9741,The Climb
Mayday Parade,Rock,9710,The Last Something That Meant Anything
The Whitest Boy Alive,Rock,9700,Promise Less or Do More
Hot Hot Heat,Rock,9694,Save Us S.O.S.
Symphony X,Metal,9689,Into The Dementia
Ulrich Schnauss,Electronic,9600,Nothing Happens in June
Bond,Pop,9544,Midnight Garden
Wiz Khalifa,Rap,9457,Get Sum
Yo La Tengo,Rock,9427,Cherry Chapstick
And So I Watch You From Afar,Rock,9358,Start a Band
Death from Above 1979,Rock,9351,My Love Is Shared
ZZ Top,Rock,9351,Precious and Grace
Robbie Williams,Pop,9327,Handsome Man
The Velvet Underground,Rock,9320,Temptation Inside Your Heart
The Wannadies,Pop,9316,You & Me Song
Kings of Convenience,Rock,9314,Sorry or Please
Britney Spears,Pop,9312,Piece of Me
Aly & AJ,Pop,9301,If I Could Have You Back
Gogol Bordello,Punk,9249,Zina-Marina
Oasis,Country,9224,Roll With It
Soilwork,Metal,9176,Sick Heart River
Young Money,Rap,9166,Gooder
Madeleine Peyroux,Jazz,9115,Somethin' Grand
A Skylit Drive,Rock,9114,Pursuit Lets Wisdom Ride the Wind
Blockhead,Electronic,9096,Music By Cavelight
Quantic,Electronic,9091,The Picture Inside
The Futureheads,Rock,9080,Le Garage
The Devil Wears Prada,Metal,9068,Rosemary Had an Accident
Passion Pit,Electronic,9064,Take a Walk
Koop,Jazz,9057,Once Britten
Trivium,Metal,9033,Falling To Grey
Tenacious D,Rock,9026,Karate Schnitzel
Nouvelle Vague,Rock,9019,Blister in the Sun
Pinback,Rock,9013,Prog
The Cranberries,Rock,8990,War Child
B.B. King,Blues,8979,It's My Own Fault
Mayer Hawthorne,RnB,8956,A Strange Arrangement
Eastern Sun,Electronic,8955,Rapture at Sea
Orishas,Latin,8864,Emigrantes
Architecture in Helsinki,Rock,8830,Red Turned White
Amon Tobin,Electronic,8790,Verbal
Mazzy Star,Rock,8786,Umbilical
Discovery,Electronic,8761,Can You Discover?
Jurassic 5,Rap,8731,End Up Like This
Nickelback,Rock,8718,S.E.X.
Ra Ra Riot,Rock,8709,Boy
Shpongle,Rock,8701,Linguistic Mystic
Jonas Brothers,Pop,8700,Play My Music
Breathe Carolina,Electronic,8697,Tripped And Fell In Portland
Nine Inch Nails,Rock,8678,Sunspots
Tom Waits,Rock,8612,Make It Rain
Alexisonfire,Rock,8575,To A Friend
Amorphis,Metal,8569,Cares
Finley Quaye,Pop,8544,Dice
The Knife,Electronic,8539,Bird
Nevermore,Metal,8465,Evolution 169
Civil Twilight,Rock,8463,Letters From The Sky
Megadeth,Metal,8441,Die Dead Enough
Deana Carter,Country,8433,We Danced Anyway
Craig Morgan,Country,8419,International Harvester
Wolfmother,Rock,8401,"10,000 Feet"
Arch Enemy,Metal,8399,Eureka
Say Anything,Rock,8394,Belt
Alice in Chains,Rock,8343,Fear The Voices
Senses Fail,Rock,8339,Wolves At The Door
Bedouin Soundclash,Reggae,8330,Gyasi Went Home
The Cinematic Orchestra,Electronic,8330,Time and Space
Devo,Rock,8279,Snowball
Black Moth Super Rainbow,Rock,8174,Caterpillar House
The Cardigans,Rock,8137,Cloudy Sky
Héroes del Silencio,Rock,8125,Malas Intenciones
Sonic Youth,Rock,8098,Making The Nature Scene
Parkway Drive,Metal,8081,The Siren's Song
Celldweller,Electronic,8069,Own Little World
Savage Garden,Pop,8067,The Animal Song
Mikromusic,Jazz,8039,Tam nie ma mnie
The Lonely Island,Rap,8035,Incredibad
Slightly Stoopid,Reggae,8029,Mellow Mood
Helloween,Metal,8014,The Tune
Gotan Project,Electronic,8008,Epoca
Alesana,Rock,7944,The Third Temptation of Paris
Common,Rap,7926,Nag Champa (Afrodisiac For The World)
Everclear,Rock,7913,Queen Of The Air
4hero,Rock,7912,Something In The Way
Deep Purple,Rock,7879,Rapture Of The Deep
Elbow,Rock,7866,Picky Bugger
Rush,Rock,7862,Kid Gloves
Supertramp,Rock,7841,Crime of the Century
Benga,Electronic,7837,Loose Synths
Cut Copy,Electronic,7783,Future
Junior Boys,Electronic,7782,The Equalizer
Porcupine Tree,Rock,7764,Queen Quotes Crowley
Every Avenue,Rock,7742,Days Of The Old
Friendly Fires,Rock,7732,Photobooth
Silverchair,Rock,7689,The Closing
deadmau5,Electronic,7682,Overdraft
Bo Kaspers Orkester,Jazz,7651,Undantag
Maxwell,RnB,7624,Playing Possum
Grandaddy,Rock,7579,Poisoned At Hartsy Thai Food
Aqua,Pop,7572,My Mamma Said
Funki Porcini,Electronic,7543,This Ain't The Way To Live
Peaches,Electronic,7509,Mommy Complex
Ziggy Marley,Reggae,7424,Melancholy Mood
Shwayze,Rap,7384,Buzzin'
Kate Nash,Pop,7382,Kiss That Grrrl
Manchester Orchestra,Rock,7365,My Friend Marcus
Isis,Metal,7360,Beneath Below
Skream,Electronic,7343,Blipstream
Eli Young Band,Country,7328,When it Rains
Beyoncé,RnB,7312,Freakum Dress
I'm from Barcelona,Rock,7304,Barcelona Loves You
Blind Melon,Rock,7291,Dumptruck
Queen,Rock,7290,Fat Bottomed Girls
Westside Connection,Rap,7274,"The Gangsta, The Killa And The Dope Dealer"
Blouse,Rock,7258,Ghost Dream
The Pussycat Dolls,Pop,7252,I Hate This Part
Rammstein,Metal,7243,Dalai Lama
Angus & Julia Stone,Folk,7226,Heart Full of Wine
Erykah Badu,RnB,7225,A.D. 2000
Forever the Sickest Kids,Rock,7225,That For Me
Rammstein,Rock,7219,B********
Tiësto,Electronic,7216,Nyana
Battles,Rock,7190,Prismism
Surfer Blood,Rock,7176,Neighbour Riffs
Snoop Dogg,Rap,7171,Sexual Eruption
Relient K,Rock,7156,I'm Taking You With Me
Kamelot,Metal,7153,Up Through the Ashes
Adam Lambert,Pop,7141,A Loaded Smile
HammerFall,Metal,7136,Rebel Inside
"Albert Hammond, Jr.",Rock,7126,Miss Myrtle
Shadows Fall,Metal,7125,To Ashes
Richard Cheese,Rock,7122,She Hates Me
Lu,Pop,7110,Por Besarte
Kate Bush,Pop,7110,Pi
Gwen Stefani,Pop,7094,U Started It
You Me at Six,Rock,7075,Little Death
Bayside,Rock,7046,"They're Not Horses, They're Unicorns"
Dido,Pop,7043,Northern Skies
Little People,Electronic,7038,Eitheror
Tonic,Rock,7017,Soldier's Daughter
AFI,Punk,7016,This Celluloid Dream
Akon,RnB,6951,Keep You Much Longer
Amon Amarth,Metal,6935,Ride For Vengeance
Billy Squier,Rock,6925,The Stroke
Eric Clapton,Rock,6918,Please Be With Me
Underworld,Electronic,6915,To Heal
Neil Young,Rock,6895,Transformer Man
The Almost,Rock,6878,Everything That Makes Me Sick
Just Jack,Pop,6870,Life Stories
Peter Bjorn and John,Rock,6859,It Beats Me Every Time
Sly & The Family Stone,RnB,6844,Everybody Is A Star
Nine Inch Nails,Electronic,6838,Down In It
Puddle of Mudd,Rock,6833,Out Of My Head
System of a Down,Rock,6827,Darts
Sub Focus,Electronic,6813,Druggy
Electric Light Orchestra,Rock,6810,Laredo Tornado
The Bravery,Rock,6796,Rites Of Spring
Lamb of God,Metal,6791,Blood Of The Scribe
Basshunter,Electronic,6774,Russia Privjet
The Black Dahlia Murder,Metal,6747,Virally Yours
Patrick Watson,Rock,6730,Luscious Life
Jennifer Lopez,Pop,6729,I'm Gonna Be Alright
Combichrist,Electronic,6721,The Line to the Dead
Mother Mother,Rock,6712,Arms Tonite
Sparta,Rock,6697,Death In The Family
Styx,Rock,6677,Lady '95
Mad Season,Rock,6671,November Hotel
Corinne Bailey Rae,RnB,6664,The Blackest Lily
Story of the Year,Rock,6655,To The Burial
A Place to Bury Strangers,Rock,6650,Exploding Head
Seeed,Reggae,6642,Light The Sun
The Dresden Dolls,Rock,6640,Half Jack
Miike Snow,Rock,6634,Pretender
Modeselektor,Electronic,6613,Vote or Die
Alesha Dixon,Pop,6561,The Boy Does Nothing
Matisyahu,Reggae,6556,Ancient Lullaby
Washed Out,Electronic,6552,You'll See It
Allah-Las,RnB,6535,Don't You Forget It
Kate Ryan,Pop,6518,Only If I
The Breeders,Rock,6518,London Song
The Rolling Stones,Rock,6511,Down In The Hole
Leftöver Crack,Punk,6477,Via Sin Dios
Copeland,Rock,6476,Don't Slow Down
Tom Petty and The Heartbreakers,Rock,6457,Shadow Of A Doubt (A Complex Kid)
Suzanne Vega,Pop,6451,Luka
Parachute,Rock,6446,She (For Liz)
Ben Folds Five,Rock,6412,Underground (Edit)
Charlotte Gainsbourg,Pop,6404,Night-Time Intermission
Black Rebel Motorcycle Club,Rock,6380,Complicated Situation
The Get Up Kids,Rock,6319,Close to Home
Violent Femmes,Rock,6318,I Held Her in My Arms
Ludacris,Rap,6290,Rollout (My Business)
Local H,Rock,6267,Fritz's Corner
Cocteau Twins,Rock,6258,Lorelei
Korpiklaani,Rock,6251,Sulasilmä
Jewel,Pop,6250,Who Will Save Your Soul
The National,Rock,6233,All the Wine
Anna Nalick,Pop,6225,Forever Love (Digame)
St. Vincent,Rock,6194,Cruel
The Rocket Summer,Rock,6187,Save
Alan Jackson,Country,6169,Pop A Top
Billy Joel,Rock,6155,Big Shot
The Rapture,Rock,6151,Live In Sunshine
Paul Stanley,Rock,6126,Live To Win
Duncan Dhu,Pop,6115,En Algún Lugar
Jeff Buckley,Rock,6111,Forget Her
Drake,Rap,6098,Fake Love
Lloyd,RnB,6081,Year Of The Lover
August Burns Red,Metal,6038,The Blinding Light
Richard Ashcroft,Rock,6037,You On My Mind In My Sleep
The Grass Roots,Rock,6037,Let's Live For Today
Mindless Self Indulgence,Rap,6028,Bullshit
Beyoncé,Rock,6024,Party
Sam Smith,Rap,6023,Money on My Mind
Beenie Man,Reggae,6021,Girls Dem Sugar
The Subways,Rock,6018,Kalifornia
Dinosaur Jr.,Rock,6014,Repulsion
Blake Shelton,Country,6004,The More I Drink
Joe Strummer and the Mescaleros,Rock,6000,Tony Adams
Penguin Cafe Orchestra,New Age,5977,Pythagoras's Trousers
Citizen Cope,Rock,5966,Nite Becomes Day
The Starting Line,Rock,5952,"Decisions, Decisions"
Syd Barrett,Rock,5942,Maisie
R. Kelly,RnB,5930,Thoia Thoing
Four Year Strong,Punk,5890,"Heroes Get Remembered, Legends Never Die"
Rihanna,RnB,5877,Fire Bomb
Matt Wertz,Pop,5876,Red Meets Blue
Manu Chao,Latin,5861,Eldorado 1997
Shout Out Louds,Rock,5858,Throwing Stones
Aerosmith,Rap,5842,Ain't That a Bitch
White Rabbits,Rock,5821,March of the Camels
Anthrax,Metal,5812,Hy Pro Glo
The Stone Roses,Rock,5810,Waterfall
Groundation,Reggae,5806,Don's Intro
The Meters,RnB,5796,Hand Clapping Song
Katatonia,Metal,5757,No Devotion
UB40,Reggae,5735,The Earth Dies Screaming
Matchbox Twenty,Rock,5732,Disease
Natiruts,Reggae,5685,Liberdade Pra Dentro Da Cabeça
T. Rex,Rock,5685,Rip Off
The Alan Parsons Project,Rock,5680,I Robot
Tricky,Electronic,5675,Broken Homes
Emancipator,Electronic,5667,Hill Sighed
Emarosa,Rock,5655,What's A Clock Without The Batteries?
Glee Cast,Rock,5650,Safety Dance
Télépopmusik,Electronic,5646,Last Train to Wherever
Easton Corbin,Country,5627,This Far From Memphis
Sleater-Kinney,Rock,5612,What's Mine Is Yours
Au Revoir Simone,Rock,5595,Organized Scenery
From First to Last,Rock,5572,Be-Headed (Marathon Man)
Atlas Sound,Rock,5564,Winter Vacation
Anna Ternheim,Pop,5557,One To Blame
Meshuggah,Metal,5546,Gods Of Rapture
Vance Joy,Rock,5536,Riptide
Spice Girls,Pop,5517,Viva Forever (Tony Rich Remix)
Metronomy,Electronic,5509,How Say
Bebel Gilberto,Jazz,5502,Bananeira
The Dodos,Rock,5500,It's That Time Again
The Jesus and Mary Chain,Rock,5483,Coast to Coast
